,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000007062.10,1066,12105,6,9913,7177,6,1861,1493,19600
ENSG00000007080.9,1233,179,315,781,730,252,674,308,538
ENSG00000007129.16,433,103,160,519,450,77,229,65,340
ENSG00000007168.11,4089,4490,4271,6528,5122,4402,4922,3877,6300
ENSG00000007171.15,0,5,2,2,1,1,1,14,10
ENSG00000007174.16,11,11,20,5,4,17,12,16,14
ENSG00000007202.13,13440,14966,8143,19923,13188,9048,13965,9037,13343
ENSG00000007216.13,0,1,1,0,0,0,2,1,1
ENSG00000007237.17,7978,1963,4272,4903,7488,2715,12674,4622,4279
ENSG00000007255.9,834,194,198,735,377,408,519,454,787
ENSG00000007264.12,1839,886,404,2526,1222,954,462,1010,585
ENSG00000007306.13,0,7,0,0,0,0,2,0,1
ENSG00000007312.11,735,208,134,1181,454,431,1306,192,2743
ENSG00000007314.10,39,103,12,118,9,15,88,6,383
ENSG00000007341.17,439,1063,648,788,750,1156,918,844,925
ENSG00000007350.15,12,17,14,1747,3,76,84,9,5
ENSG00000007372.19,67,296,158,212,101,159,123,98,152
ENSG00000007376.6,2035,293,382,1352,883,489,1169,586,808
ENSG00000007384.14,276,113,78,210,72,65,168,184,2575
ENSG00000007392.15,2759,4956,3842,5038,2061,4248,2327,3647,3854
ENSG00000007402.10,55,1065,75,88,221,49,62,80,339
ENSG00000007516.12,61,33,87,65,103,58,94,108,320
ENSG00000007520.3,973,186,233,751,518,387,678,293,450
ENSG00000007541.13,2303,1127,965,2367,1094,1846,1420,1386,1403
ENSG00000007545.14,1006,2028,1538,2355,1166,1719,1347,1825,2907
ENSG00000007866.17,7,158,93,14,28,161,27,82,50
ENSG00000007908.14,0,195,7,2,1,35,1,3,12
ENSG00000007923.14,1574,1253,1011,1830,1373,1218,1129,1066,1350
ENSG00000007933.11,10,43,4,1,8,52,0,23,8
ENSG00000007944.13,796,1545,1604,1109,1157,1340,1285,1434,2716
ENSG00000007952.16,13,17,5,18,6,3,10,9,7
ENSG00000007968.6,500,1510,447,917,1571,890,312,504,1105
ENSG00000008018.8,3362,1910,1628,3444,2485,1807,2278,1423,4124
ENSG00000008056.11,12,108,29,13,11,22,23,19,10
ENSG00000008083.12,4169,15902,6215,8788,6413,5714,5093,4984,10181
ENSG00000008086.9,66,77,439,112,124,539,307,399,899
ENSG00000008118.8,2,1,1,0,0,0,2,0,0
ENSG00000008128.21,634,220,500,631,484,663,565,659,566
ENSG00000008130.14,5252,1102,3591,4134,2349,5617,7769,1766,2766
ENSG00000008196.11,0,4,1,2,0,2,0,0,0
ENSG00000008197.4,0,0,0,0,1,1,1,0,0
ENSG00000008226.18,155,180,235,123,147,206,232,296,178
ENSG00000008256.14,472,597,331,686,183,639,692,594,897
ENSG00000008277.13,165,1947,267,237,140,632,79,199,413
ENSG00000008282.6,3067,6941,1839,5001,2466,1349,2937,2382,5735
ENSG00000008283.14,887,748,626,1160,564,96,970,339,1779
ENSG00000008294.19,1785,7911,3559,3798,2699,4581,3223,3080,4796
ENSG00000008300.13,132,317,632,209,841,923,635,297,523
ENSG00000008311.13,2,37,199,11,13,30,12,11,1232
ENSG00000008323.14,60,215,199,142,181,1341,318,566,269
ENSG00000008324.9,621,257,275,645,437,203,479,227,477
ENSG00000008382.14,847,170,284,566,543,637,440,296,415
ENSG00000008394.11,7018,29,4582,7519,14,5636,3365,4512,4345
ENSG00000008405.10,353,1166,385,953,592,377,435,495,655
ENSG00000008438.4,21,87,19,189,29,15,21,30,122
ENSG00000008441.15,9704,2874,1120,5675,1451,1235,4141,1876,3334
ENSG00000008513.13,3833,7067,3066,4636,3051,4096,4405,3781,8439
ENSG00000008516.15,182,292,106,833,152,149,389,147,237
ENSG00000008517.15,306,146,517,155,102,109,149,101,105
ENSG00000008710.16,4041,2955,3574,7401,4602,6487,5431,5499,6774
ENSG00000008735.13,12,119,20,22,38,32,9,34,23
ENSG00000008838.16,4347,3408,2180,5665,3733,3349,2793,2838,3501
ENSG00000008853.15,949,685,381,789,1514,162,890,312,794
ENSG00000008869.10,5051,4630,3912,9686,6826,3322,5097,4156,6115
ENSG00000008952.15,4781,8424,3685,4748,4142,4481,4926,2580,5746
ENSG00000008988.8,21273,8099,15139,26900,14961,15553,12705,10783,44014
ENSG00000009307.14,17736,20365,13778,21949,16950,10878,13278,10389,29111
ENSG00000009335.16,3464,4292,3064,4268,3804,3151,3526,3125,2980
ENSG00000009413.14,1224,6482,3419,4070,3286,3380,2041,3274,4161
ENSG00000009694.12,74,1798,344,118,57,127,367,65,1996
ENSG00000009709.10,0,2,0,0,0,2,0,0,0
ENSG00000009724.15,244,624,501,671,492,705,343,508,906
ENSG00000009765.13,1,7,1,3,2,0,3,1,2
ENSG00000009780.14,455,602,438,610,445,408,333,280,545
ENSG00000009790.13,4413,2208,4931,4826,3414,1912,5298,2784,2364
ENSG00000009830.10,986,403,676,1204,848,974,605,914,604
ENSG00000009844.14,1235,2174,1220,1860,1553,866,1527,943,1917
ENSG00000009950.14,7,6,9,4,4,32,15,16,5
ENSG00000009954.9,3880,6833,3345,5915,6421,3856,3582,3700,4583
ENSG00000010017.12,1987,3956,2027,3154,4012,2258,1645,2019,3227
ENSG00000010030.12,10,10,49,8,7,2,11,2,50
ENSG00000010072.14,263,640,336,558,493,511,620,445,496
ENSG00000010165.18,1857,923,605,2222,1274,639,1109,754,1183
ENSG00000010219.12,496,354,305,672,197,292,286,192,418
ENSG00000010244.15,10649,22721,12763,21697,13037,17070,11314,11779,18813
ENSG00000010256.9,6041,1049,1504,4465,3348,1939,3206,1495,2947
ENSG00000010270.12,1816,1326,1518,1997,884,1025,1434,1587,2264
ENSG00000010278.10,285,560,254,393,165,501,842,69,5057
ENSG00000010282.13,1,2,0,0,1,1,0,0,0
